"run_id","judge_model","judge_task_category","outcome_raw"
"M3G__UP010","openai/gpt-oss-120b","summarization","1"
"M3G__UP010","deepseek/deepseek-v4-pro","summarization","1"
"M3G__UP022","meta-llama/llama-3.3-70b-instruct","open_qa","FALSE"
"M3G__UP022","openai/gpt-oss-120b","open_qa","FALSE"
"M3G__UP022","deepseek/deepseek-v4-pro","open_qa","FALSE"
"M3G__UP042","openai/gpt-oss-120b","classification","1"
"M3G__UP042","deepseek/deepseek-v4-pro","classification","1"
"M3G__UP054","meta-llama/llama-3.3-70b-instruct","classification","4"
"M3G__UP054","openai/gpt-oss-120b","classification","1"
"M3G__UP054","deepseek/deepseek-v4-pro","classification","1"
"M3S__UP080","openai/gpt-oss-120b","information_extraction","1"
"M3S__UP080","deepseek/deepseek-v4-pro","information_extraction","1"
"M3S__UP097","meta-llama/llama-3.3-70b-instruct","closed_qa","FALSE"
"M3S__UP097","openai/gpt-oss-120b","closed_qa","FALSE"
"M3S__UP097","deepseek/deepseek-v4-pro","closed_qa","FALSE"
"M3G__UP010","meta-llama/llama-3.3-70b-instruct","summarization","4"
