"run_id","task_category","model_slug","condition","final_content_empty","h5_scoring_source","n_judges","qa_correct","judge_mean_score"
"M1G__UP001","summarization","granite4.1:8b","General",FALSE,"three_judge_panel",3,,5
"M1S__UP001","summarization","granite4.1:8b","Sustainability",FALSE,"three_judge_panel",3,,3.66666666666667
"M1S__UP002","summarization","granite4.1:8b","Sustainability",FALSE,"three_judge_panel",3,,4.66666666666667
"M1G__UP002","summarization","granite4.1:8b","General",FALSE,"three_judge_panel",3,,5
"M1G__UP003","summarization","granite4.1:8b","General",FALSE,"three_judge_panel",3,,4.33333333333333
"M1S__UP003","summarization","granite4.1:8b","Sustainability",FALSE,"three_judge_panel",3,,4.66666666666667
"M1S__UP004","summarization","granite4.1:8b","Sustainability",FALSE,"three_judge_panel",3,,5
"M1G__UP004","summarization","granite4.1:8b","General",FALSE,"three_judge_panel",3,,5
"M1G__UP005","summarization","granite4.1:8b","General",FALSE,"three_judge_panel",3,,3.66666666666667
"M1S__UP005","summarization","granite4.1:8b","Sustainability",FALSE,"three_judge_panel",3,,4.66666666666667
"M1S__UP006","summarization","granite4.1:8b","Sustainability",FALSE,"three_judge_panel",3,,4.66666666666667
"M1G__UP006","summarization","granite4.1:8b","General",FALSE,"three_judge_panel",3,,3.66666666666667
"M1G__UP007","summarization","granite4.1:8b","General",FALSE,"three_judge_panel",3,,4.66666666666667
"M1S__UP007","summarization","granite4.1:8b","Sustainability",FALSE,"three_judge_panel",3,,5
"M1S__UP008","summarization","granite4.1:8b","Sustainability",FALSE,"three_judge_panel",3,,4.66666666666667
"M1G__UP008","summarization","granite4.1:8b","General",FALSE,"three_judge_panel",3,,4.66666666666667
"M1G__UP009","summarization","granite4.1:8b","General",FALSE,"three_judge_panel",3,,5
"M1S__UP009","summarization","granite4.1:8b","Sustainability",FALSE,"three_judge_panel",3,,4.33333333333333
"M1S__UP010","summarization","granite4.1:8b","Sustainability",FALSE,"three_judge_panel",3,,4.33333333333333
"M1G__UP010","summarization","granite4.1:8b","General",FALSE,"three_judge_panel",3,,4.33333333333333
"M1G__UP011","summarization","granite4.1:8b","General",FALSE,"three_judge_panel",3,,5
"M1S__UP011","summarization","granite4.1:8b","Sustainability",FALSE,"three_judge_panel",3,,4.33333333333333
"M1S__UP012","summarization","granite4.1:8b","Sustainability",FALSE,"three_judge_panel",3,,4.66666666666667
"M1G__UP012","summarization","granite4.1:8b","General",FALSE,"three_judge_panel",3,,5
"M1G__UP013","summarization","granite4.1:8b","General",FALSE,"three_judge_panel",3,,5
"M1S__UP013","summarization","granite4.1:8b","Sustainability",FALSE,"three_judge_panel",3,,4.66666666666667
"M1S__UP014","summarization","granite4.1:8b","Sustainability",FALSE,"three_judge_panel",3,,3.33333333333333
"M1G__UP014","summarization","granite4.1:8b","General",FALSE,"three_judge_panel",3,,2.33333333333333
