Run ID,LLM Judge Model,Task,Outcome
M1G__UP002,meta-llama/llama-3.3-70b-instruct,summarization,5
M1S__UP001,meta-llama/llama-3.3-70b-instruct,summarization,4
M1G__UP001,meta-llama/llama-3.3-70b-instruct,summarization,5
M1S__UP002,meta-llama/llama-3.3-70b-instruct,summarization,4
M1G__UP003,meta-llama/llama-3.3-70b-instruct,summarization,4
M1S__UP003,meta-llama/llama-3.3-70b-instruct,summarization,5
M1S__UP002,openai/gpt-oss-120b,summarization,5
M1S__UP004,meta-llama/llama-3.3-70b-instruct,summarization,5
M1G__UP003,openai/gpt-oss-120b,summarization,5
M1S__UP004,openai/gpt-oss-120b,summarization,5
M1G__UP004,meta-llama/llama-3.3-70b-instruct,summarization,5
M1G__UP004,openai/gpt-oss-120b,summarization,5
M1G__UP001,openai/gpt-oss-120b,summarization,5
M1G__UP005,meta-llama/llama-3.3-70b-instruct,summarization,5
M1S__UP003,openai/gpt-oss-120b,summarization,5
M1S__UP001,openai/gpt-oss-120b,summarization,4
M1S__UP005,meta-llama/llama-3.3-70b-instruct,summarization,4
M1G__UP005,openai/gpt-oss-120b,summarization,3
M1S__UP005,openai/gpt-oss-120b,summarization,5
M1S__UP006,openai/gpt-oss-120b,summarization,5
M1S__UP006,meta-llama/llama-3.3-70b-instruct,summarization,4
M1G__UP006,openai/gpt-oss-120b,summarization,4
M1G__UP006,meta-llama/llama-3.3-70b-instruct,summarization,4
M1S__UP004,deepseek/deepseek-v4-pro,summarization,5
M1G__UP007,openai/gpt-oss-120b,summarization,5
M1G__UP004,deepseek/deepseek-v4-pro,summarization,5
M1G__UP007,meta-llama/llama-3.3-70b-instruct,summarization,4
M1S__UP007,openai/gpt-oss-120b,summarization,5
M1S__UP002,deepseek/deepseek-v4-pro,summarization,5
M1S__UP007,meta-llama/llama-3.3-70b-instruct,summarization,5
M1G__UP002,deepseek/deepseek-v4-pro,summarization,5
M1S__UP008,meta-llama/llama-3.3-70b-instruct,summarization,4
M1S__UP008,openai/gpt-oss-120b,summarization,5
M1S__UP006,deepseek/deepseek-v4-pro,summarization,5
M1G__UP005,deepseek/deepseek-v4-pro,summarization,3
M1G__UP008,meta-llama/llama-3.3-70b-instruct,summarization,5
M1G__UP009,openai/gpt-oss-120b,summarization,5
M1G__UP008,openai/gpt-oss-120b,summarization,5
M1G__UP009,meta-llama/llama-3.3-70b-instruct,summarization,5
M1S__UP008,deepseek/deepseek-v4-pro,summarization,5
M1S__UP009,meta-llama/llama-3.3-70b-instruct,summarization,4
M1S__UP007,deepseek/deepseek-v4-pro,summarization,5
M1S__UP009,openai/gpt-oss-120b,summarization,5
M1S__UP005,deepseek/deepseek-v4-pro,summarization,5
M1G__UP007,deepseek/deepseek-v4-pro,summarization,5
M1S__UP010,meta-llama/llama-3.3-70b-instruct,summarization,5
M1G__UP010,meta-llama/llama-3.3-70b-instruct,summarization,5
M1G__UP009,deepseek/deepseek-v4-pro,summarization,5
M1G__UP001,deepseek/deepseek-v4-pro,summarization,5
M1G__UP011,meta-llama/llama-3.3-70b-instruct,summarization,5
M1G__UP006,deepseek/deepseek-v4-pro,summarization,3
M1G__UP011,openai/gpt-oss-120b,summarization,5
M1S__UP011,meta-llama/llama-3.3-70b-instruct,summarization,4
M1S__UP009,deepseek/deepseek-v4-pro,summarization,4
M1G__UP010,deepseek/deepseek-v4-pro,summarization,4
M1G__UP008,deepseek/deepseek-v4-pro,summarization,4
M1S__UP012,meta-llama/llama-3.3-70b-instruct,summarization,4
M1G__UP003,deepseek/deepseek-v4-pro,summarization,4
M1S__UP010,openai/gpt-oss-120b,summarization,4
M1S__UP011,openai/gpt-oss-120b,summarization,5
M1G__UP012,meta-llama/llama-3.3-70b-instruct,summarization,5
M1G__UP013,meta-llama/llama-3.3-70b-instruct,summarization,5
M1G__UP012,openai/gpt-oss-120b,summarization,5
M1S__UP012,openai/gpt-oss-120b,summarization,5
M1S__UP013,meta-llama/llama-3.3-70b-instruct,summarization,4
M1G__UP011,deepseek/deepseek-v4-pro,summarization,5
