"h5_scoring_source","task_category","condition","model","n_responses"
"three_judge_panel","classification","General","gemma4:12b",20
"three_judge_panel","closed_qa","General","gemma4:12b",20
"three_judge_panel","information_extraction","General","gemma4:12b",20
"three_judge_panel","open_qa","General","gemma4:12b",20
"three_judge_panel","summarization","General","gemma4:12b",20
"three_judge_panel","classification","Sustainability","gemma4:12b",20
"three_judge_panel","closed_qa","Sustainability","gemma4:12b",20
"three_judge_panel","information_extraction","Sustainability","gemma4:12b",20
"three_judge_panel","open_qa","Sustainability","gemma4:12b",20
"three_judge_panel","summarization","Sustainability","gemma4:12b",20
"three_judge_panel","classification","General","granite4.1:8b",20
"three_judge_panel","closed_qa","General","granite4.1:8b",20
"three_judge_panel","information_extraction","General","granite4.1:8b",20
"three_judge_panel","open_qa","General","granite4.1:8b",20
"three_judge_panel","summarization","General","granite4.1:8b",20
"three_judge_panel","classification","Sustainability","granite4.1:8b",20
"three_judge_panel","closed_qa","Sustainability","granite4.1:8b",20
"three_judge_panel","information_extraction","Sustainability","granite4.1:8b",20
"three_judge_panel","open_qa","Sustainability","granite4.1:8b",20
"three_judge_panel","summarization","Sustainability","granite4.1:8b",20
"deterministic_empty_response","classification","General","qwen3.5:9b",2
"three_judge_panel","classification","General","qwen3.5:9b",18
"three_judge_panel","closed_qa","General","qwen3.5:9b",20
"three_judge_panel","information_extraction","General","qwen3.5:9b",20
"deterministic_empty_response","open_qa","General","qwen3.5:9b",1
"three_judge_panel","open_qa","General","qwen3.5:9b",19
"deterministic_empty_response","summarization","General","qwen3.5:9b",1
"three_judge_panel","summarization","General","qwen3.5:9b",19
"three_judge_panel","classification","Sustainability","qwen3.5:9b",20
"deterministic_empty_response","closed_qa","Sustainability","qwen3.5:9b",1
"three_judge_panel","closed_qa","Sustainability","qwen3.5:9b",19
"deterministic_empty_response","information_extraction","Sustainability","qwen3.5:9b",1
"three_judge_panel","information_extraction","Sustainability","qwen3.5:9b",19
"three_judge_panel","open_qa","Sustainability","qwen3.5:9b",20
"three_judge_panel","summarization","Sustainability","qwen3.5:9b",20
